cognom;freq1;freq2;fre1i2
CHUMILLA;271;223;0
CORTABITARTE;271;216;0
ORCE;271;210;0
CATEURA;271;201;0
MONTOZA;271;201;0
ABELA;271;191;0
HAMIDO;271;184;0
URRUTIKOETXEA;271;180;0
FAKIR;271;106;0
DJALO;271;105;31
NOUR;271;103;10
ANTONOV;271;96;8
JALAL;271;66;0
FREEMAN;271;55;0
WILLIAMSON;271;45;0
ZOUGAGHI;271;35;7
GRADINARU;271;20;0
ALMUNIA;270;358;0
ULACIA;270;338;0
RESUA;270;312;0
CAMARILLO;270;307;6
SENSO;270;307;0
PARAMOS;270;303;0
ANORO;270;301;0
BESALDUCH;270;300;6
ACARO;270;299;5
ARIZNABARRETA;270;298;0
VILARDEBO;270;296;0
MONIS;270;293;0
RUBINOS;270;285;6
LOYARTE;270;278;0
TOMILLERO;270;277;0
FLUIXA;270;267;0
AIDO;270;260;0
DAGA;270;258;0
SEVILA;270;258;0
CORCHON;270;244;0
CORTADELLAS;270;241;0
ALZINA;270;227;0
ALGARA;270;223;0
CREHUET;270;221;0
LARREATEGUI;270;221;0
GILART;270;211;14
ACHARKI;270;129;7
BHATTI;270;110;9
DAHOU;270;107;0
AOUISSI;270;61;0
FATTY;270;48;8
HAMRI;270;47;0
BAICU;270;20;0
BARBERIA;269;327;0
PERAMO;269;321;0
BISQUERRA;269;305;0
ESCARPA;269;305;0
MURES;269;305;0
CENCERRADO;269;303;0
BASOA;269;295;0
SAGRA;269;281;0
BALMES;269;278;0
CHULIAN;269;276;0
PEDRIDO;269;274;0
GARCIA DE LA ROSA;269;258;0
SAENZ DE BURUAGA;269;256;5
CILLA;269;256;0
PLANILLO;269;255;5
DE LUZ;269;248;7
CARRACELAS;269;247;0
ARRUA;269;237;0
TRIADO;269;237;0
LARROYA;269;232;0
ANGELINA;269;227;0
LINAJE;269;218;0
DE LA PRIDA;269;217;0
NOMDEDEU;269;206;0
ZEKRI;269;126;0
DUKURAY;269;112;41
KUZNETSOVA;269;78;9
BENABDELLAH;269;71;0
EL MAJJAOUI;269;61;23
ABOU;269;50;0
NEWTON;269;33;0
KE;269;28;0
ANDRONIC;269;20;6
RIANCHO;268;311;0
PAGUAY;268;299;16
BONAFE;268;299;0
RUALES;268;296;0
LECANDA;268;286;0
ALBAR;268;285;0
FARRERO;268;278;7
PERETO;268;275;13
REGAÑO;268;269;0
MARECO;268;268;0
CIMARRA;268;266;0
LANCIS;268;266;0
CLOSAS;268;265;0
FABERO;268;265;0
REINADO;268;264;0
COSMEN;268;263;0
CASTAÑAR;268;261;0
SANANDRES;268;259;5
AYEN;268;255;0
MANZANA;268;254;0
GENOVA;268;250;0
MUÑOYERRO;268;245;0
RABELO;268;244;0
SIQUEIRA;268;241;0
LIÑEIRA;268;240;0
MERELLO;268;217;0
TRANCHE;268;199;0
ALAVES;268;171;0
MANNEH;268;122;26
ALOUAT;268;115;14
GALLI;268;101;0
MOUSSI;268;98;10
BRAHMI;268;75;0
BOUDRA;268;71;6
JABRANE;268;57;0
RAILEANU;268;33;0
PELADO;267;326;0
OTALVARO;267;319;0
SAYAVERA;267;305;0
GRIMON;267;302;0
JARAMAGO;267;292;0
OLAECHEA;267;287;0
LALANA;267;277;0
GRESA;267;274;0
ORGANISTA;267;273;0
ARDON;267;272;5
ZURIARRAIN;267;269;0
GASSET;267;266;0
GORGUES;267;265;0
PALLEIRO;267;265;0
PANIZA;267;265;0
CAMPERO;267;263;0
ADRADA;267;260;0
PAULANO;267;257;0
TONATO;267;256;13
TECLES;267;248;0
AMELLER;267;247;0
CAVADAS;267;245;0
ROYES;267;245;0
MARESMA;267;241;0
VILLON;267;230;0
GALCERA;267;224;0
MATANZA;267;223;0
SERES;267;221;0
PAY;267;215;0
MALLOR;267;214;0
MENDIBIL;267;205;0
CERETO;267;204;0
DE BURGOS;267;199;0
BETOLAZA;267;189;0
MODOL;267;185;6
EL IMRANI;267;133;9
SAWANEH;267;121;29
DOUIRI;267;113;14
EL HABCHI;267;56;17
ALLAM;267;42;0
ANSAR;267;38;0
DUDEA;267;10;0
RIZWAN;267;10;0
BURITICA;266;358;0
DE CADIZ;266;353;14
MAFE;266;339;0
KOSTOV;266;320;12
TRASANCOS;266;317;0
YELMO;266;304;6
MAXIMO;266;300;0
SANTIESTEBAN;266;284;0
SENDROS;266;276;0
CURTIDO;266;270;0
BARAIBAR;266;266;0
AMORIM;266;264;0
VERDESOTO;266;258;0
SEBA;266;257;0
PERSONAT;266;255;0
ARMOA;266;249;0
BARBECHO;266;249;0
RIVAROLA;266;243;0
TALEGON;266;242;14
LODOS;266;234;6
VILLARTA;266;231;0
ESPARRAGO;266;230;0
GUSTEMS;266;230;0
VOS;266;218;6
SARRI;266;217;0
TABUYO;266;210;0
CONILL;266;205;0
OYONARTE;266;202;0
BARREAL;266;187;0
GARCIA DE VINUESA;266;163;0
KRAMER;266;101;0
FAHIM;266;95;0
VARDANYAN;266;64;9
BOATENG;266;64;7
HANIF;266;62;0
MARIS;266;56;0
BURKE;266;50;0
RASOOL;266;37;0
CAZAN;266;30;0
IFRIM;266;21;0
SOHAIL;266;15;0
TANDAZO;265;381;14
SISTERNES;265;339;0
GOIBURU;265;335;7
SUSAETA;265;313;0
VIOTA;265;299;0
MOLINERA;265;297;0
VEGUE;265;297;0
COTERILLO;265;287;5
VILLAZAN;265;286;0
ERAS;265;284;0
MIÑONES;265;283;0
VIDONDO;265;279;5
NEIRO;265;275;0
COMBARROS;265;267;10
VILLELLAS;265;262;8
ALDON;265;257;0
BURLO;265;254;0
QUINTANAL;265;245;0
BIARNES;265;244;14
ALANDETE;265;243;0
ALBERTE;265;242;0
ANZOLA;265;240;0
CLEMARES;265;240;0
URTIZBEREA;265;239;0
ERRANDONEA;265;234;0
ARNAY;265;233;0
SOTODOSOS;265;232;8
ARZAMENDIA;265;231;9
AGUEROS;265;226;12
ABRINES;265;226;0
CONTEL;265;223;0
UGARTEBURU;265;222;0
LOPEZ DE LERMA;265;218;0
UNDA;265;211;0
BERBIS;265;185;0
UBEDA PORTUGUES;265;179;6
ARMAN;265;159;0
AYAT;265;108;29
KHATIRI;265;101;13
SCHMITT;265;93;0
AMEZIANE;265;77;0
GHAZARYAN;265;61;11
HUDSON;265;49;0
GARLITO;264;363;0
PATALLO;264;329;11
ABOITIZ;264;328;0
BARDALLO;264;318;8
FANECA;264;303;0
ANGUIX;264;297;0
CRUSELLAS;264;281;0
MAHEDERO;264;278;0
OYON;264;261;0
POTENTE;264;261;0
GARAIZABAL;264;260;0
ECHAIDE;264;259;0
ROMANS;264;259;0
ZUERAS;264;257;0
BALSECA;264;256;5
BELAUSTEGUI;264;256;0
OMELLA;264;247;9
CICERO;264;246;10
TARRATS;264;245;0
BANDO;264;238;0
HUELGA;264;234;0
REGOS;264;231;8
BRA;264;228;0
MAITA;264;227;0
ESCARRA;264;223;0
IGARZA;264;222;0
MONTECINOS;264;221;0
BAZACO;264;219;0
GIL DE GOMEZ;264;219;0
LANSEROS;264;218;5
BALDOMERO;264;218;0
MOSQUERO;264;217;0
RUIZ RUANO;264;215;0
FOGUET;264;210;0
CABARROCAS;264;208;0
ELEXPURU;264;208;0
ROSTOLL;264;205;0
GARCIA DE MARINA;264;196;0
DE SIMON;264;170;0
CHABOU;264;110;13
LAGHZAOUI;264;106;0
FARAJI;264;88;23
CHIGUER;264;81;10
GUETTAF;264;68;20
WINTER;264;52;0
STONE;264;36;0
FILIMON;264;18;0
BARTOMEU;263;312;0
LINACERO;263;295;0
DIAZ HELLIN;263;294;0
CASAO;263;291;0
CADAHIA;263;289;0
GOMEZ LIMON;263;288;0
EUGUI;263;284;0
GANTES;263;282;0
MALAVER;263;281;0
BAUSET;263;280;0
GENEROSO;263;279;0
AMPOSTA;263;277;0
VELLISCA;263;268;0
MICHAVILA;263;267;0
VALDEOLMILLOS;263;266;0
CASATEJADA;263;263;0
PROHENS;263;263;0
TORTELLA;263;259;0
CIRAUQUI;263;255;17
AZQUETA;263;251;0
MENDILUCE;263;250;0
PAULET;263;250;0
ARGERICH;263;246;0
GARATEA;263;237;7
AICART;263;235;0
CUCURELLA;263;232;0
LAVARA;263;231;0
MARTINEZ DE LA CASA;263;231;0
ARANZADI;263;229;0
DEL SALTO;263;229;0
REULA;263;226;0
ARRUZA;263;225;0
CANDELO;263;220;0
PEGUEROLES;263;218;0
RINA;263;208;11
SIENES;263;201;0
SUSARTE;263;201;0
BALLO;263;147;0
BAJAHA;263;114;39
BELKADI;263;111;0
BOWEN;263;108;0
RIAHI;263;90;0
BISHOP;263;57;0
BAGHDADI;263;53;0
MCDONALD;263;32;0
IKKEN;263;31;10
WEBSTER;263;29;0
SPIRIDON;263;20;0
REMACHO;262;349;0
MERI;262;308;0
SINDE;262;304;0
FONTANILLA;262;294;0
IRIBERRI;262;292;0
PLAYA;262;280;0
OCHOTORENA;262;278;0
DILME;262;277;0
HUETO;262;274;0
RASILLA;262;274;0
CASTELLOT;262;270;0
POZON;262;269;9
GRIERA;262;268;0
OYANGUREN;262;265;0
PAUNERO;262;265;0
ADURIZ;262;263;0
PICART;262;263;0
BADORREY;262;260;0
BEDIALAUNETA;262;260;0
ARUS;262;259;0
ABELEIRA;262;258;0
LULL;262;254;7
RODRIGAÑEZ;262;246;0
PEREZ DE NANCLARES;262;245;0
CADILLA;262;243;0
ESCOBERO;262;239;0
LARRETA;262;238;0
BAUCELLS;262;237;0
UMAÑA;262;236;0
ABRAIRA;262;234;0
BOLET;262;233;5
CORNADO;262;232;0
CAMINAL;262;229;0
ORNIA;262;226;0
SOLERO;262;213;0
MERILLAS;262;203;0
CASTO;262;199;0
ABDELAZIZ;262;156;0
ROCCA;262;154;0
GHULAM;262;133;10
BELGHAZI;262;105;5
MARZOUK;262;100;0
CHAKOUR;262;86;5
EL HASSNAOUI;262;79;0
GREGORY;262;56;0
CROSS;262;52;0
BLACK;262;51;0
ILIESCU;262;33;6
CHITU;262;28;0
SARBU;262;27;0
LOPEZ COZAR;261;314;0
ARDOY;261;289;0
VERDEGAY;261;287;0
BULLICH;261;285;7
PES;261;284;0
DIAZ DEL CAMPO;261;280;0
SAMANES;261;279;7
JUSTES;261;279;0
LUCES;261;276;10
MASRAMON;261;274;0
RODRIGUEZ PERAL;261;272;0
CENOZ;261;271;12
TUDO;261;267;0
GOLDEROS;261;265;0
ARANGUEZ;261;260;0
MACIPE;261;255;0
MOLLO;261;253;0
TOSAR;261;250;0
OROMI;261;249;0
ROTELA;261;245;0
AMEZQUITA;261;243;0
BUIDE;261;240;0
CARRIEL;261;238;0
LASAGABASTER;261;235;0
LOSAS;261;229;0
HERNANSAIZ;261;227;0
GRADO;261;225;0
GUANOLUISA;261;220;0
GRULLON;261;210;0
PAGAZAURTUNDUA;261;210;0
VALLDEPERAS;261;208;0
IVAÑEZ;261;203;5
PESUDO;261;202;10
LISA;261;201;0
POBLACION;261;191;0
ERRA;261;184;0
EL OUTMANI;261;131;8
RINALDI;261;114;0
EL HABTI;261;101;8
HILALI;261;83;0
AVETISYAN;261;46;9
SHEVCHUK;261;37;8
FRATILA;261;33;5
DIAMANKA;261;29;0
BODNAR;261;25;0
COEGO;260;315;0
DARAS;260;308;0
CUCHARERO;260;301;0
ZUHEROS;260;296;5
TRAVERIA;260;296;0
PRIEDE;260;293;9
NAVARTA;260;288;0
LIBRAN;260;283;12
CALERA;260;280;0
CUPIDO;260;276;0
SARMENTERO;260;268;0
ALOCEN;260;266;0
MIMBRERA;260;262;0
VECILLA;260;261;6
ITARTE;260;252;0
ALTED;260;251;0
CIDON;260;247;0
LURBE;260;244;0
AULLO;260;229;0
FAGOAGA;260;229;0
RODRIGUEZ RABADAN;260;227;0
CAPITA;260;225;0
GORIS;260;225;0
LANZOS;260;219;0
DE LA MORA;260;216;0
GALAZ;260;212;0
MERELAS;260;200;0
ALMERIA;260;192;0
BONNET;260;189;0
ANTONAYA;260;174;0
ISSAOUI;260;104;5
RUGGIERO;260;66;0
ARIZTEGUI;259;311;0
GERENA;259;308;0
GABERNET;259;304;0
MARINHO;259;288;0
MIEDES;259;286;0
SABILLON;259;282;8
CELADOR;259;280;0
NOAIN;259;278;0
NIZA;259;276;0
LIZUNDIA;259;272;0
SERRAL;259;272;0
LLUCIA;259;264;0
MANOTAS;259;262;0
VIÑARAS;259;262;0
AUMENTE;259;261;6
PAUNER;259;259;0
GALAVIS;259;257;0
SARTO;259;253;0
CASQUEIRO;259;250;0
TARACIDO;259;247;0
CRISTOFOL;259;243;0
SANT;259;241;0
GALLENT;259;240;0
PINALES;259;239;8
BALLESTAR;259;237;11
GARGOLES;259;233;0
RUIZ DE LOIZAGA;259;233;0
GURRIA;259;229;0
AÑOVER;259;228;0
MERENCIO;259;228;0
GONZALEZ ROMAN;259;227;0
PISABARRO;259;225;23
TROCOLI;259;222;0
REBENAQUE;259;221;5
ESCOZ;259;219;0
SANSON;259;218;0
FERMOSEL;259;213;0
RENES;259;202;0
LLEIDA;259;198;0
ARTAZA;259;193;0
BURGADA;259;190;0
KRASTEVA;259;186;5
KRASTEV;259;171;10
ABDALLAH;259;139;11
KEBBEH;259;115;18
CHARAF;259;71;0
RUMENOVA;259;69;0
ZERRAD;259;67;0
NADIR;259;60;0
HIGGINS;259;44;0
HARKAOUI;259;42;0
DE JONG;259;41;0
MIU;259;37;0
RAZZAQ;259;19;0
LUCACI;259;12;0
ZAMARRON;258;349;8
LACA;258;320;0
CIRUELA;258;308;0
COTAINA;258;307;0
URIONDO;258;303;0
VERDIA;258;289;0
CARRERE;258;285;0
AEDO;258;284;0
FARPON;258;283;0
OTI;258;275;11
INGUANZO;258;269;8
ARMENGOD;258;265;9
FRIEIRO;258;265;0
NACIMIENTO;258;263;0
CUBINO;258;258;14
PANIELLO;258;254;0
BETANCO;258;249;0
RIGAT;258;243;0
GARCIA MOCHALES;258;240;0
AVELLANA;258;233;0
PATERNAIN;258;228;0
REVOLLO;258;225;0
FONCILLAS;258;224;0
RODRIGUEZ MANZANEQUE;258;223;0
EDROSA;258;222;8
AIX;258;221;0
LASSO DE LA VEGA;258;218;0
DIAZ MALAGUILLA;258;215;0
PICA;258;215;0
TOLOS;258;207;0
MOHAMMADI;258;139;0
SCHMITZ;258;116;0
EL BAZ;258;77;0
NOOR;258;62;0
BADIANE;258;51;12
RAM;258;46;7
LAGOSTENA;257;317;6
AVILEZ;257;307;0
RECOUSO;257;293;0
URBAEZ;257;292;9
CAMPILLEJO;257;287;0
CORUÑA;257;286;0
HUNGRIA;257;284;0
PISON;257;282;6
ALENDE;257;281;0
CULIAÑEZ;257;281;0
MASACHE;257;275;6
SITJAR;257;274;0
AYAN;257;272;8
LARBI;257;270;0
COMECHE;257;269;0
RUBIÑOS;257;266;0
NICIEZA;257;265;0
RANILLA;257;263;6
MONTERREY;257;260;0
CANELLES;257;258;0
CANORA;257;253;0
SORS;257;252;0
RIONDA;257;247;0
RECONDO;257;246;0
BASTO;257;242;0
GASALLA;257;240;0
JOYANES;257;236;6
DEL CORRO;257;230;0
COSIALLS;257;229;0
CARRASCON;257;226;0
VELLON;257;224;8
CASAFONT;257;221;0
VALMASEDA;257;220;0
MORTERA;257;219;0
CORRONS;257;216;0
GOSENDE;257;215;0
SILIO;257;214;0
ALCOY;257;213;0
LANDROVE;257;213;0
ANRANGO;257;212;12
BORJABAD;257;190;0
EL AZZAOUI;257;94;0
SAMHI;257;88;21
MORELLI;257;84;0
BELKASMI;257;65;8
HOLLAND;257;30;0
GAVRIL;257;27;0
SAFDAR;257;24;0
ECHEBERRIA;256;436;0
ARILLO;256;386;0
SOGAS;256;317;0
MONTELLANO;256;311;0
VIDIGAL;256;291;0
ROVIROSA;256;284;0
UMANZOR;256;279;20
JUANICO;256;275;0
EUCEDA;256;267;9
DE GOMAR;256;266;0
FERMOSELLE;256;261;0
IBABE;256;259;0
MAHECHA;256;244;6
ARANDIGA;256;244;0
ORNA;256;241;0
MORENO MANZANARO;256;236;0
CASILDA;256;232;0
CRISTIA;256;230;0
PEDRIZA;256;229;0
CARBONES;256;228;0
CABAU;256;220;0
LANDAETA;256;219;0
ANDEREZ;256;217;0
EVANGELIO;256;205;12
COPE;256;193;0
BERMUDEZ DE CASTRO;256;188;0
DURE;256;186;0
CHALCO;256;185;0
DEL PORTILLO;256;161;0
BOUJIDA;256;95;0
HADDADI;256;75;0
ABDESSAMIE;256;64;17
TIMOFTE;256;20;0
CARCAVILLA;255;315;5
BARRONES;255;313;0
HERANCE;255;307;0
POTENCIANO;255;300;0
VILLAGARCIA;255;294;0
AZAUSTRE;255;290;0
AMORRORTU;255;287;0
CABAÑA;255;277;0
VILLAMAÑAN;255;277;0
SOLIER;255;276;0
GORBEA;255;271;0
BUELGA;255;269;7
MOGICA;255;266;0
CATON;255;263;0
RODELAS;255;262;0
SOLIVERES;255;258;11
CAMUÑA;255;256;0
GARAIZAR;255;246;0
FANTOVA;255;244;0
BENIMELI;255;242;7
ARGUIMBAU;255;239;0
CABALGANTE;255;239;0
ASCARIZ;255;237;0
FRANCA;255;225;0
CARRANCIO;255;222;0
BOTIN;255;212;0
URZELAI;255;204;0
VALSERA;255;195;5
IRAGORRI;255;194;0
LUGILDE;255;189;0
SAMBRUNO;255;186;0
MARTY;255;172;0
HAKIM;255;101;5
AMEZIAN;255;98;0
BENSON;255;70;8
RAISSI;255;61;0
EL MAAROUFI;255;37;0
ILEA;255;22;0
SCHIOPU;255;20;0
DE VARGAS;254;421;0
NORIA;254;299;0
ESCANILLA;254;290;0
GOLAN;254;285;16
EQUIZA;254;273;6
LUJAMBIO;254;265;0
LIQUETE;254;258;0
PALOMANES;254;255;6
GARMILLA;254;255;0
TIRADOS;254;251;0
MONGAY;254;247;0
BELLVIS;254;245;0
GOLDARACENA;254;244;0
ZARRABEITIA;254;241;0
ESCARDA;254;240;0
ORCERA;254;238;0
BRUCH;254;232;0
BASCUÑAN;254;231;0
LANCETA;254;231;0
ABLANEDO;254;230;0
MURUBE;254;230;0
PALLIN;254;229;0
LANCHAZO;254;228;0
LIÑANA;254;225;0
LOPEZ DE LACALLE;254;216;0
ESTALELLA;254;210;0
RODAO;254;206;0
REPETTO;254;202;0
RENUNCIO;254;199;0
BAY;254;197;0
MAGALDI;254;180;0
COSTAN;254;134;0
EL KHALDI;254;98;0
CHRISTENSEN;254;96;0
EL BANNOUDI;254;75;7
ETTAHIRI;254;62;7
MANN;254;61;0
DIACONESCU;254;19;6
ABDESLAM;253;394;0
CONDON;253;327;0
VICTORIANO;253;321;8
OBLANCA;253;307;0
MATADOR;253;294;0
PAPASEIT;253;288;0
UFANO;253;288;0
BELZUNCES;253;286;0
VALMAÑA;253;283;0
ANGUEIRA;253;280;8
DE FRIAS;253;280;0
GALAFATE;253;279;0
TAHAR;253;275;0
GANZO;253;266;0
LEGUINA;253;255;0
ACEREDA;253;252;0
PEYDRO;253;250;0
AURIA;253;247;0
RUIZ MATEOS;253;247;0
MENO;253;246;5
CARDOZA;253;246;0
SESTAYO;253;245;13
CIVICOS;253;244;0
MORENO ARRONES;253;241;0
MACHICADO;253;239;0
AYUDA;253;229;0
SENERO;253;228;0
INOCENCIO;253;225;0
PALENCIANO;253;223;0
SAMBOLA;253;222;0
TESORO;253;221;0
CABOS;253;219;0
GOVEA;253;216;0
AGUADERO;253;215;0
ARMISEN;253;212;0
RAFFO;253;209;0
DEL NOGAL;253;207;0
TORROELLA;253;195;5
MURADO;253;170;0
RAFI;253;164;0
BENSALAH;253;105;6
EL MASSOUDI;253;102;0
SAOUDI;253;79;5
BECK;253;79;0
TACHE;253;71;0
DOUGLAS;253;52;0
SHRESTHA;253;36;13
JURJ;253;16;0
NCHAMA;252;901;0
RIBERO;252;467;0
TERUELO;252;318;11
AVI;252;314;6
OCHOVO;252;291;0
JUNQUERO;252;290;0
LAMIEL;252;284;0
ROLLANO;252;282;0
CABEO;252;281;0
HOMPANERA;252;280;0
GEGUNDEZ;252;276;9
BAYOT;252;266;0
BOIGUES;252;261;0
POSADO;252;251;8
NEBRO;252;251;0
ROSALENY;252;250;0
MAJADA;252;248;10
TRICIO;252;247;0
SANCHEZ REY;252;243;0
MECINAS;252;241;0
BORREGON;252;237;0
REBAQUE;252;237;0
LICONA;252;234;0
PEYRO;252;231;0
MATTA;252;221;5
BEIROA;252;221;0
TEIJO;252;219;0
GARCIA CUEVAS;252;216;0
LARRAÑETA;252;208;0
DE LA HUERGA;252;203;0
PORTEROS;252;198;6
AIZPITARTE;252;197;0
BEZA;252;180;0
EL MAJDOUBI;252;93;0
CHAHBI;252;76;9
RAHAOUI;252;69;0
MAZUR;252;53;0
VASILESCU;252;33;0
BURGESS;252;27;0
EPURE;252;21;0
SAMOILA;252;21;0
MARIÑELARENA;251;291;0
VIAS;251;283;0
LITRAN;251;282;0
ZARAGOZI;251;281;10
LEGAZPI;251;279;0
CEIDE;251;273;0
MIRAZ;251;272;0
CURIA;251;269;0
CALL;251;267;0
PUIGROS;251;265;0
CAELLES;251;257;0
FORTIS;251;255;0
GARCIA DE PAREDES;251;255;0
AZUAJE;251;253;0
AÑINO;251;249;5
ANDREA;251;249;0
GUANTER;251;249;0
MARROIG;251;248;0
NAPOLES;251;247;0
ESTELLE;251;245;0
VILANA;251;234;0
DE CEA;251;232;0
VILATA;251;230;0
REDERO;251;224;0
PARDELLAS;251;219;11
CARCAS;251;218;6
GARCIA ABAD;251;216;0
SAHELICES;251;215;0
SAMPERIZ;251;214;0
ALMERO;251;210;0
MOLINA PRADOS;251;210;0
ERAUSKIN;251;204;0
SOLCHAGA;251;193;0
FONTANILLO;251;192;11
SEQUI;251;191;5
GAROFALO;251;190;0
BARROUHOU;251;143;25
DAS;251;114;10
CHU;251;114;0
LEONARD;251;107;0
BELKACEM;251;83;0
ZOUHAIR;251;51;0
GARDNER;251;26;0
SURDU;251;26;0
DRAGOTA;251;24;0
ROTARIU;251;17;0
ONECA;250;311;0
NIEMBRO;250;302;9
RUESGAS;250;292;0
ALABORT;250;264;0
LARRAINZAR;250;258;0
BALLEN;250;252;0
MALILLOS;250;251;0
PIERNA;250;251;0
VILLAFAÑEZ;250;247;0
FINCIAS;250;244;0
BIBIAN;250;243;0
GIL ORTEGA;250;242;12
ARRUEBO;250;242;6
ROMAÑA;250;241;0
ZALACAIN;250;235;0
GUALLART;250;230;0
REMARTINEZ;250;227;0
DONADEU;250;221;0
ESPUELAS;250;216;0
DE MATEO;250;213;0
MUINELO;250;211;0
BANCELLS;250;199;0
MOLEIRO;250;197;0
AMUTIO;250;193;0
BAILA;250;192;0
SELLERS;250;165;0
KABBA;250;151;16
MARTINEZ ABARCA;250;130;0
SALMOUN;250;112;0
KARLSSON;250;94;0
ZEMMOURI;250;89;0
SANDERS;250;77;0
BERKANI;250;76;0
EL HARCHI;250;64;0
ZOUBIR;250;55;0
FATY;250;31;0
GRANCHA;249;333;0
BERTOA;249;318;0
TRISTANTE;249;317;0
CAUBET;249;299;0
YAMUZA;249;291;0
ROCO;249;287;0
PEÑATO;249;284;0
AGUSTINA;249;278;0
POLVORINOS;249;276;8
ICAZA;249;272;0
MAÑERU;249;272;0
BRANDAO;249;269;0
PASERO;249;268;0
FONTA;249;260;0
HONTECILLAS;249;257;0
CHIQUITO;249;252;6
ESTERUELAS;249;251;0
AGUA;249;249;0
COLSA;249;246;0
PUJADO;249;241;0
ARCINIEGAS;249;240;0
GALBANY;249;237;0
ANFRUNS;249;235;0
CHUQUIMARCA;249;235;0
TENES;249;234;0
PICAZA;249;232;5
PASALODOS;249;232;0
PUGES;249;230;0
ARISA;249;229;8
BASTERO;249;224;0
JOAN;249;222;0
PARE;249;220;0
ESPUIG;249;219;0
FERNANDEZ DE LA PUEBLA;249;217;0
BARDINA;249;216;5
VELLIDO;249;215;0
MUÑOZ DE LEON;249;211;0
ARTAZCOZ;249;203;0
CONTIJOCH;249;182;0
BENDRISS;249;64;0
ADDOU;249;63;5
FIORE;249;57;0
HAWKINS;249;56;0
BALINT;249;30;0
RILEY;249;30;0
MARSH;249;29;0
LEFTER;249;22;5
HERNANDORENA;248;346;0
ZORROZUA;248;325;0
OCHAITA;248;307;0
GILETE;248;306;0
ALGARRADA;248;303;0
PELLISA;248;298;6
MOGENA;248;294;0
GAROLERA;248;286;0
IRUN;248;282;10
BONAMUSA;248;274;0
GABARRES;248;273;12
ARABAOLAZA;248;273;0
FURUNDARENA;248;268;0
GALLUD;248;267;0
AGURTO;248;260;0
OCEJA;248;255;5
LADRA;248;252;0
GURILLO;248;251;0
DE ANCOS;248;243;9
ELCANO;248;243;5
LLATAS;248;242;0
RUSCALLEDA;248;230;0
ARDAO;248;228;6
GARABATO;248;228;0
BACIGALUPE;248;223;0
LAMPARERO;248;215;0
LLONGUERAS;248;212;0
ASTETE;248;190;0
PEZUELA;248;189;0
BIKANDI;248;165;5
BOUHOUT;248;131;0
MO;248;131;0
JALIL;248;123;0
MARSOU;248;116;15
CHAKKOUR;248;108;8
BOUGHABA;248;96;0
EL YOUNOUSSI;248;91;14
EL KADAOUI;248;82;9
AJOUAOU;248;73;0
KARAM;248;65;6
TOMESCU;248;33;0
PRIAN;247;318;0
MUNTADAS;247;310;0
BADELL;247;300;0
PRUNEDA;247;293;0
PERRUCA;247;291;8
ABARRATEGUI;247;282;0
BATALLE;247;276;0
DE MOURA;247;274;0
BENITA;247;271;0
TRIQUELL;247;267;0
RELLOSO;247;266;0
ALEX;247;255;0
DE OLEO;247;254;9
OYAGA;247;249;0
EMBUENA;247;248;0
TRINDADE;247;245;0
COIN;247;236;10
NARBON;247;235;0
GARRAN;247;227;0
OSACAR;247;225;0
NEBRERA;247;224;0
SUPERVIA;247;224;0
PIEROLA;247;212;0
MANZO;247;203;0
MARTIN LORENTE;247;201;0
GORNES;247;198;0
FEDERICO;247;150;0
VINYES;247;107;0
GAL;247;86;0
BEN HADDOU;247;79;0
VLADIMIROV;247;78;10
ALILOU;247;76;7
KOZAK;247;47;7
MOROZ;247;30;0
POSTOLACHE;247;22;0
DOBOS;247;18;6
CABASCANGO;246;313;10
PAYANO;246;271;6
GELLIDA;246;269;6
CUNS;246;265;0
OUTERELO;246;263;6
MAYAS;246;263;0
FELIPEZ;246;256;0
BESGA;246;251;0
CLOFENT;246;250;0
ALASTRUE;246;240;0
ESPANTOSO;246;240;0
AREVALOS;246;237;0
TABERO;246;236;0
RUIZ DE ARCAUTE;246;234;0
ESCUSA;246;231;0
HERGUIDO;246;230;0
ALDAVERO;246;227;0
BRANCHADELL;246;222;0
LEACHE;246;218;0
ROMARIS;246;212;0
ARDITE;246;211;0
MUNIAIN;246;209;0
MEYA;246;208;0
BOAN;246;205;0
LOMBANA;246;203;0
LOTERO;246;198;0
CHIMBORAZO;246;191;17
FERNANDEZ DE LANDA;246;188;0
SABA;246;180;0
GUIBERT;246;165;0
LEY;246;128;0
SORA;246;125;0
BAR;246;122;0
OJO;246;116;14
EL BAHRI;246;96;5
FADLI;246;90;7
CHAFIK;246;73;0
DUNN;246;64;0
AOUAD;246;63;0
KOVALENKO;246;49;0
VESELINOV;246;46;0
DIAME;246;45;0
SUTTON;246;34;0
WARREN;246;30;0
NOVAC;246;20;0
CRAIA;246;12;0
LOPATEGUI;245;339;0
CANES;245;320;0
BONOME;245;309;0
PLAGARO;245;302;0
MASET;245;294;0
DEL EGIDO;245;291;0
DESCO;245;285;0
CAMIRUAGA;245;277;0
PUYA;245;276;0
DA LUZ;245;269;5
CRUSAT;245;265;0
DECLARA;245;260;0
ARACAMA;245;253;0
COARASA;245;251;5
BOIZA;245;246;0
GARCIA CONDE;245;246;0
AMARGANT;245;244;0
APODACA;245;244;0
HIGUERUELA;245;243;0
HIDALGA;245;238;6
VILLASUSO;245;236;0
SUÑEN;245;230;0
